Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2024-03-01,GOOG,139.61,140.0,137.975,138.08,28551525.0,138.7688,314669
2024-03-04,GOOG,136.54,136.63,132.86,134.2,43571510.0,134.0105,495654
2024-03-05,GOOG,132.74,134.02,131.55,133.78,28447550.0,133.0401,343013
2024-03-06,GOOG,134.24,134.74,131.95,132.56,23175200.0,132.7237,302445
2024-03-07,GOOG,133.89,135.82,132.66,135.24,24107282.0,134.7866,279499
2024-03-08,GOOG,135.035,138.985,134.8,136.29,26495160.0,137.1159,333673
2024-03-11,GOOG,137.07,139.98,137.07,138.94,22536365.0,138.9942,299630
2024-03-12,GOOG,138.25,140.28,138.21,139.62,19019696.0,139.611,235625
2024-03-13,GOOG,140.06,142.19,140.01,140.77,19636999.0,141.1197,242700
2024-03-14,GOOG,142.3,144.73,141.485,144.34,36117913.0,143.8083,410370
2024-03-15,GOOG,143.41,144.34,141.1301,142.17,41039494.0,142.2968,300056
2024-03-18,GOOG,149.37,152.93,148.14,148.48,47676689.0,150.2583,638454
2024-03-19,GOOG,148.98,149.62,147.01,147.92,17748367.0,147.7903,218450
2024-03-20,GOOG,148.79,149.76,147.665,149.68,17720246.0,148.9809,248031
2024-03-21,GOOG,150.32,151.305,148.0101,148.74,19843915.0,149.0813,260573
2024-03-22,GOOG,150.24,152.56,150.09,151.77,19252925.0,151.6865,243267
2024-03-25,GOOG,150.95,151.456,148.8,151.15,15114728.0,150.5671,195747
2024-03-26,GOOG,151.24,153.2,151.03,151.7,19312694.0,152.13,211856
2024-03-27,GOOG,152.145,152.69,150.13,151.94,16580364.0,151.3525,222193
2024-03-28,GOOG,152.0,152.67,151.33,152.26,21105628.0,152.1635,206731
2024-04-01,GOOG,151.83,157.0,151.65,156.5,24469815.0,155.7895,301866
2024-04-02,GOOG,154.75,155.99,153.46,155.87,17598064.0,155.1383,229211
2024-04-03,GOOG,154.92,156.55,154.1321,156.37,17266175.0,155.8758,212996
2024-04-04,GOOG,155.08,156.18,151.88,151.94,24184842.0,153.8969,339217
2024-04-05,GOOG,151.68,154.84,151.081,153.94,16297319.0,153.7686,228132
2024-04-08,GOOG,154.015,156.655,153.99,156.14,16641530.0,155.9755,212811
2024-04-09,GOOG,157.35,159.89,156.64,158.14,21538140.0,158.0945,272532
2024-04-10,GOOG,157.88,158.16,156.2,157.66,16336974.0,157.2433,243773
